source_id,team_fifa_code,name,position
150052,CRO,Marco Pašalić,Offence
15110,CRO,Marin Pongračić,Defence
3553,CRO,Mario Pašalić,Midfield
156912,CRO,Martin Baturina,Midfield
74268,CRO,Martin Erlic,Defence
65,CRO,Mateo Kovačić,Midfield
23135,CRO,Nikola Moro,Midfield
7843,CRO,Nikola Vlašić,Midfield
56589,CRO,Petar Musa,Offence
154013,CRO,Petar Sucic,Midfield
216138,CRO,Toni Fruk,Midfield
149120,CUW,Ar'jany Martha,Defence
7443,CUW,Armando Obispo,Defence
190770,CUW,Brandley Kuwas,Offence
177433,CUW,Deveron Fonville,Defence
7437,CUW,Eloy Room,Goalkeeper
6597,CUW,Gervane Kastaneer,Offence
7274,CUW,Godfried Roemeratoe,Midfield
149134,CUW,Jearl Margaritha,Offence
156631,CUW,Jeremy Antonisse,Offence
7438,CUW,Joshua Brenet,Defence
7518,CUW,Juninho Bacuna,Midfield
55417,CUW,Juriën Gaari,Defence
8288,CUW,Jürgen Locadia,Offence
7986,CUW,Kenji Gorré,Offence
53327,CUW,Kevin Felida,Midfield
4280,CUW,Leandro Bacuna,Midfield
166156,CUW,Livano Comenencia,Defence
9428,CUW,Riechedly Bazoer,Defence
7229,CUW,Roshon van Eijma,Defence
7744,CUW,Sheral Floranus,Defence
137697,CUW,Shurandy Sambo,Defence
137025,CUW,Sontje Hansen,Offence
98483,CUW,Tahith Chong,Offence
7412,CUW,Trevor Doornbusch,Goalkeeper
191954,CUW,Tyrese Noslin,Defence
171283,CUW,Tyrick Bodak,Goalkeeper
99042,CZE,Adam Hložek,Offence
269966,CZE,Alexandr Sojka,Midfield
62821,CZE,David Douděra,Midfield
146716,CZE,David Jurásek,Defence
127813,CZE,David Zima,Defence
154082,CZE,Denis Višinský,Midfield
293648,CZE,Hugo Sochůrek,Midfield
62726,CZE,Jan Kuchta,Offence
62536,CZE,Jaroslav Zelený,Defence
120246,CZE,Jindřich Staněk,Goalkeeper
1878,CZE,Ladislav Krejčí,Midfield
146753,CZE,Lukáš Horníček,Goalkeeper
120279,CZE,Lukáš Provod,Midfield
145322,CZE,Lukáš Červ,Midfield
136350,CZE,Matej Kovar,Goalkeeper
67970,CZE,Michal Sadílek,Midfield
99752,CZE,Mojmír Chytil,Offence
1826,CZE,Patrik Schick,Offence
121312,CZE,Pavel Šulc,Midfield
188239,CZE,Robin Hranac,Defence
16396,CZE,Tomáš Chorý,Offence
62769,CZE,Tomáš Holeš,Defence
15742,CZE,Tomáš Souček,Midfield
62631,CZE,Vladimir Coufal,Defence
6556,CZE,Vladimír Darida,Midfield
254530,CZE,Štěpán Chaloupek,Defence
24670,ECU,Alan Franco,Midfield
179174,ECU,Alan Minda,Midfield
178940,ECU,Anthony Valencia,Offence
212692,ECU,Denil Castillo,Midfield
40009,ECU,Enner Valencia,Offence
24740,ECU,Félix Torres,Defence
56066,ECU,Gonzalo Plata,Midfield
24881,ECU,Gonzalo Valle,Goalkeeper
24545,ECU,Hernán Galíndez,Goalkeeper
114331,ECU,Jackson Porozo,Defence
215510,ECU,Jeremy,Offence
178928,ECU,Joel Ordoñez,Defence
98549,ECU,John Yeboah,Offence
24988,ECU,Jordy Alcívar,Midfield
24562,ECU,Jordy Caicedo,Offence
189975,ECU,Kevin Rodríguez,Offence
121103,ECU,Moisés Caicedo,Midfield
169139,ECU,Moisés Ramírez,Goalkeeper
187375,ECU,Nilson Angulo,Offence
166131,ECU,Pedro Vite,Midfield
32642,ECU,Pervis Estupiñán,Defence
125674,ECU,Piero Hincapié,Defence
205684,ECU,Ray Paez,Midfield
114102,ECU,William Pacho,Defence
192819,ECU,Yaimar Medina,Defence
24673,ECU,Ángelo Preciado,Defence
245553,EGY,Ahmed El Fotouh,Defence
295344,EGY,El Mahdi Soliman,Goalkeeper
191972,EGY,Emam Ashour,Midfield
98222,EGY,Haissem Hassan,Offence
132389,EGY,Hamdy Fathy,Midfield
274542,EGY,Hamza Abdelkarim,Offence
261033,EGY,Hossam Abdelmaguid,Defence
253635,EGY,Ibrahim Adel,Offence
780,EGY,Karim Hafez,Defence
261012,EGY,Mahmoud Saber,Midfield
245582,EGY,Marwan Attia,Midfield
245563,EGY,Mohamed Abdelmonem,Defence
132128,EGY,Mohamed Alaa,Goalkeeper
3743,EGY,Mohamed El Shenawy,Goalkeeper
83057,EGY,Mohamed Hany,Defence
3754,EGY,Mohamed Salah,Offence
245550,EGY,Mohanad Lashin,Midfield
295848,EGY,Mostafa Ziko,Midfield
114669,EGY,Nabil Dunga,Midfield
66896,EGY,Omar Marmoush,Offence
251169,EGY,Oufa Shobeir,Goalkeeper
245625,EGY,Rami Rabia,Defence
295343,EGY,Tarek Alaa,Defence
180952,EGY,Trezeguet,Midfield
245519,EGY,Yasser Ibrahim,Defence
45207,EGY,Zizo,Midfield
7848,ENG,Anthony Gordon,Midfield
99813,ENG,Bukayo Saka,Offence
4870,ENG,Dan Burn,Defence
